Date,Value
1,
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0245858
11,0.0693298
12,0.131242
13,0.304152
14,0.479492
15,0.648092
16,0.786444
17,0.89917
18,0.99018
19,1.06167
20,1.11719
21,1.18227
22,1.25514
23,1.35782
24,1.46096
25,1.57678
26,1.66615
27,1.75718
28,1.84933
29,1.94147
30,2.00928
31,2.0804
32,2.15395
33,2.24796
34,2.34034
35,2.43116
36,2.5205
37,2.69529
38,2.8372
39,2.94554
40,3.04801
41,3.12253
42,3.17419
43,3.3411
44,3.4904
45,3.62379
46,3.74394
47,3.85311
48,3.95295
49,4.12827
50,4.28519
51,4.40914
52,4.49786
53,4.55794
54,4.59065
55,4.62345
56,4.658
57,4.69441
58,4.74851
59,4.80554
60,4.86694
61,4.96525
62,5.17377
63,5.3776
64,5.54431
65,5.6795
66,5.79718
67,5.90071
68,5.9913
69,6.0686
70,6.1127
71,6.16896
72,6.31026
73,6.4444
74,6.59064
75,6.71844
76,6.83247
77,6.94205
78,7.24419
79,7.58839
80,7.8745
81,8.1122
82,8.3073
83,8.44527
84,8.73886
85,8.98605
86,9.17482
87,9.34356
88,9.46077
89,9.55037
90,9.59524
91,9.62348
92,9.62093
93,9.59835
94,9.56318
95,9.52723
96,9.5439
97,9.52816
98,9.5101
99,9.49107
100,9.47247
101,9.47941
102,9.46755
103,9.43133
104,9.38551
105,9.34865
106,9.37329
107,9.39453
108,9.44517
109,9.49027
110,9.52975
111,9.56361
112,9.59303
113,9.75889
114,9.88793
115,10.0107
116,10.1241
117,10.225
118,10.3105
119,10.4603
120,10.6102
121,10.7379
122,10.8271
123,10.8924
124,10.9338
125,10.9671
126,11.0049
127,11.1226
128,11.2829
129,11.4453
130,11.6118
131,11.7732
132,11.9249
133,12.1066
134,12.2625
135,12.3917
136,12.4638
137,12.7075
138,12.8958
139,13.1181
140,13.4601
141,13.8101
142,14.1894
143,14.5276
144,14.8964
145,15.4585
146,15.9625
147,16.6013
148,17.5746
149,18.3689
150,19.0884
151,19.7709
152,20.3056
153,20.8147
154,21.264
155,21.7047
156,22.1417
157,22.604
158,23.3282
159,24.3964
160,25.8122
161,27.4705
162,28.8984
163,30.0245
164,31.0209
165,31.8912
166,32.5548
167,33.7579
168,34.7765
169,35.852
170,37.0727
171,38.105
172,38.9516
173,39.7177
174,40.9156
175,42.0654
176,43.3799
177,44.38
178,45.1617
179,45.7865
180,46.6461
181,47.9956
182,49.0948
183,49.8654
184,50.3739
185,50.6327
186,50.6803
187,50.5499
188,50.2883
189,49.9226
190,49.4572
191,48.9097
192,48.3043
193,47.6658
194,46.9922
195,46.2942
196,45.6221
197,44.952
198,44.2866
199,43.6155
200,42.9706
201,42.3372
202,41.7645
203,41.1871
204,40.6245
205,40.0589
206,39.5032
207,38.9698
208,38.4711
209,37.9856
210,37.5221
211,37.0987
212,36.6805
213,36.2939
214,35.9253
215,35.5759
216,35.2246
217,34.8687
218,34.511
219,34.1539
220,33.8024
221,33.4674
222,33.1382
223,32.8403
224,32.5471
225,32.2554
226,31.9658
227,31.6895
228,31.4165
229,31.1456
230,30.8784
231,30.6224
232,30.3866
233,30.1533
234,29.9285
235,29.7148
236,29.5053
237,29.2944
238,29.085
239,28.8755
240,28.667
241,28.4746
242,28.2932
243,28.118
244,27.9518
245,27.7949
246,27.6583
247,27.5227
248,27.4104
249,27.3103
250,27.2149
251,27.1473
252,27.0946
253,27.0522
254,27.0266
255,26.9853
256,26.9473
257,26.8909
258,26.8206
259,26.745
260,26.6574
261,26.5629
262,26.4651
263,26.3636
264,26.2773
265,26.1966
266,26.1068
267,26.0073
268,25.898
269,25.8181
270,25.7221
271,25.6127
272,25.4924
273,25.3628
274,25.2264
275,25.1103
276,25.0421
277,24.9811
278,24.8995
279,24.8275
280,24.7652
281,24.713
282,24.6649
283,24.6215
284,24.5538
285,24.5119
286,24.4698
287,24.4032
288,24.3422
289,24.2608
290,24.1614
291,24.047
292,23.9206
293,23.7841
294,23.6395
295,23.4886
296,23.3329
297,23.2687
298,23.2103
299,23.1577
300,23.0847
301,22.9945
302,22.8902
303,22.7741
304,22.6486
305,22.5156
306,22.3974
307,22.2905
308,22.1738
309,22.0493
310,21.9185
311,21.7828
312,21.6434
313,21.5013
314,21.3572
315,21.2121
316,21.0663
317,20.9206
318,20.7752
319,20.6467
320,20.5165
321,20.3852
322,20.2534
323,20.1383
324,20.0204
325,19.9006
326,19.7792
327,19.6569
328,19.5497
329,19.4397
330,19.3275
331,19.2136
