Date,Value
1,
1,0.000203522
2,0.00018317
3,0.000164853
4,0.000148368
5,0.000133531
6,0.000120178
7,0.00010816
8,0.000141828
9,0.000144923
10,0.314326
11,0.657429
12,1.00198
13,2.74421
14,3.2769
15,3.5246
16,3.38024
17,3.1749
18,2.96425
19,2.75266
20,2.56484
21,2.69166
22,2.86665
23,3.37067
24,3.5736
25,3.89861
26,3.74297
27,3.83377
28,3.94898
29,4.06071
30,3.86184
31,3.93293
32,4.03653
33,4.39893
34,4.53571
35,4.64122
36,4.73359
37,6.06973
38,6.04363
39,5.78203
40,5.75996
41,5.48005
42,5.19251
43,6.76637
44,6.95169
45,6.9634
46,6.93085
47,6.89299
48,6.8607
49,7.95746
50,8.08088
51,7.86435
52,7.49138
53,7.12011
54,6.72512
55,6.64741
56,6.65459
57,6.69553
58,6.96475
59,7.09856
60,7.23587
61,7.95151
62,9.91407
63,10.5058
64,10.3624
65,10.1118
66,9.98409
67,9.89065
68,9.78972
69,9.66447
70,9.2182
71,9.37599
72,10.7517
73,11.0435
74,11.4652
75,11.4291
76,11.3774
77,11.4415
78,14.5432
79,16.0465
80,15.9147
81,15.5746
82,15.1359
83,14.3957
84,16.8145
85,16.7951
86,16.2611
87,16.1593
88,15.5037
89,15.1043
90,14.3894
91,14.0124
92,13.4503
93,13.0032
94,12.662
95,12.4947
96,13.3242
97,12.88
98,12.7351
99,12.6264
100,12.5589
101,12.9064
102,12.6388
103,12.1668
104,11.8668
105,11.8753
106,12.8506
107,12.9266
108,13.4092
109,13.455
110,13.4127
111,13.3354
112,13.2803
113,15.7003
114,15.6225
115,15.7468
116,15.7741
117,15.7016
118,15.5435
119,16.6231
120,17.0062
121,16.905
122,16.843
123,17.1202
124,17.2017
125,17.8386
126,19.009
127,23.5646
128,26.9187
129,28.4713
130,29.9645
131,30.9312
132,31.559
133,33.988
134,33.8589
135,33.4408
136,31.1875
137,39.2423
138,37.8943
139,40.1366
140,46.4616
141,48.3427
142,51.0952
143,50.794
144,53.5251
145,63.8982
146,63.7437
147,71.7192
148,88.6604
149,84.6171
150,83.8519
151,84.5574
152,79.9081
153,83.1095
154,83.7552
155,87.3283
156,90.9661
157,96.4497
158,116.928
159,144.597
160,174.07
161,198.728
162,193.654
163,180.867
164,177.283
165,173.158
166,163.125
167,200.407
168,194.969
169,203.289
170,217.198
171,210.877
172,203.207
173,201.582
174,232.686
175,235.32
176,250.758
177,236.017
178,225.134
179,216.979
180,233.75
181,269.207
182,260.115
183,277.438
184,307.614
185,303.245
186,295.33
187,283.376
188,288.632
189,295.524
190,283.618
191,268.821
192,261.554
193,265.722
194,256.407
195,247.978
196,282.576
197,287.522
198,290.431
199,276.716
200,291.932
201,290.514
202,337.499
203,316.166
204,312.825
205,288.81
206,276.767
207,276.905
208,290.641
209,284.228
210,285.307
211,306.466
212,292.777
213,306.45
214,348.903
215,392.14
216,376.794
217,348.932
218,323.906
219,302.586
220,291.168
221,308.455
222,297.526
223,355.151
224,344.955
225,325.114
226,305.809
227,315.896
228,300.613
229,281.215
230,265.875
231,270.774
232,301.946
233,289.429
234,292.342
235,303.814
236,298.185
237,278.17
238,265.13
239,247.789
240,233.188
241,259.564
242,275.145
243,279.585
244,291.926
245,282.906
246,287.267
247,273.996
248,285.072
249,287.178
250,283.298
251,305.301
252,316.075
253,323.78
254,339.368
255,322.194
256,324.008
257,303.802
258,287.272
259,279.148
260,263.87
261,253.561
262,246.414
263,238.841
264,251.088
265,255.042
266,243.741
267,231.082
268,217.901
269,245.171
270,227.174
271,210.938
272,196.091
273,182.574
274,170.933
275,159.116
276,150.43
277,140.512
278,129.295
279,121.362
280,114.508
281,108.399
282,102.514
283,97.4039
284,90.3658
285,87.3276
286,82.9754
287,77.226
288,73.9927
289,69.2679
290,64.8734
291,60.9076
292,57.3767
293,54.0649
294,50.9229
295,48.0999
296,45.5683
297,49.5787
298,48.9421
299,48.4238
300,45.9314
301,43.5915
302,41.443
303,39.4235
304,37.6004
305,35.9381
306,35.8211
307,35.5693
308,34.0727
309,32.665
310,31.3642
311,30.1737
312,29.0788
313,28.0962
314,27.1805
315,26.3314
316,25.5617
317,24.8482
318,24.1892
319,24.6042
320,23.9961
321,23.4205
322,22.8934
323,23.4854
324,22.9729
325,22.4711
326,21.9911
327,21.5441
328,22.1026
329,21.6551
330,21.218
331,20.8051
332,20.4213
333,21.3988
334,21.9708
335,22.5097
336,22.3537
337,22.1958
338,21.7336
339,21.2586
340,21.1634
341,21.0866
342,20.7073
343,20.302
344,19.9075
345,19.8483
346,19.849
347,19.5538
348,19.6643
349,19.7018
350,20.5234
351,20.7051
352,21.9765
353,22.038
354,21.9472
355,21.5003
356,21.012
357,20.5377
358,20.4091
359,20.3416
360,20.5242
361,20.2496
362,20.1756
363,19.8218
364,19.8843
365,19.8926
366,19.8817
367,19.8509
368,20.0796
369,20.0991
370,20.0798
371,20.1907
372,19.8492
373,19.8763
374,19.8878
375,19.5824
376,19.5363
377,19.5177
378,19.6804
379,20.5646
380,21.2961
381,20.9976
382,20.5482
383,20.0834
384,19.9361
385,19.8483
386,19.7892
387,19.4738
388,19.0934
389,19.1489
390,19.6547
391,19.6857
392,19.3866
393,19.0509
394,18.7001
395,18.3497
396,18.0191
397,17.751
398,17.4882
399,17.3624
400,17.268
401,17.1588
402,17.062
403,16.9177
404,16.7642
405,16.5944
406,16.5349
407,16.4253
408,16.3031
409,16.2022
410,16.0496
411,16.1563
412,16.341
413,16.3252
414,16.3584
415,16.3185
416,16.4911
417,16.6601
418,20.2693
419,21.9809
420,21.8739
421,22.113
422,22.5803
423,28.0299
424,28.5493
425,28.1426
426,27.6644
427,27.0469
428,26.4558
429,25.9274
430,25.4422
431,25.2416
432,24.8599
433,24.2451
434,23.5302
435,22.8661
436,22.144
437,21.6304
438,21.1889
439,21.034
440,21.9163
441,22.8949
442,23.2228
443,23.2854
444,23.155
445,22.607
446,23.8814
447,23.9641
448,23.8643
449,23.7961
450,23.5416
451,23.4013
452,23.1663
453,22.9369
454,22.7795
455,22.5684
456,22.364
457,24.6517
458,25.7382
459,25.8324
460,25.4247
461,26.3464
462,26.2284
463,26.3362
464,26.446
465,27.0055
466,27.7667
467,27.8946
468,27.7231
469,28.9661
470,29.2245
471,31.1085
472,30.9298
473,30.3437
474,30.15
475,31.4012
476,31.213
477,31.3775
478,31.12
479,30.9131
480,29.8721
481,30.4125
482,34.1102
483,39.7067
484,43.3551
485,43.9443
486,46.262
487,57.7069
488,63.3702
489,64.7218
490,65.8303
491,65.6007
492,78.8513
493,82.0472
494,87.3957
495,91.0631
496,89.3455
497,97.7536
498,95.2507
499,93.5146
500,94.5981
501,96.3783
502,94.9632
503,89.8633
504,86.0449
505,84.2578
506,81.5254
507,78.6747
508,79.4371
509,82.3487
510,87.6739
511,86.7285
512,88.2922
513,103.399
514,99.1192
515,98.7649
516,95.6941
517,91.574
518,94.1281
519,95.3006
520,108.01
521,133.474
522,153.534
523,159.592
524,167.153
525,168.557
526,181.209
527,182.408
528,177.783
529,184.594
530,185.12
531,182.708
532,185.939
533,185.405
534,181.11
535,176.447
536,169.654
537,201.967
538,203.944
539,198.44
540,190.487
541,182.234
542,196.614
543,188.695
544,193.573
545,190.056
546,212.265
547,217.09
548,234.339
549,246.222
550,255.778
551,276.641
552,273.089
553,262.378
554,275.966
555,274.766
556,279.331
557,294.914
558,329.433
559,339.714
560,322.453
561,334.632
562,364.626
563,405.249
564,396.919
565,379.668
566,395.948
567,406.092
568,375.108
569,352.181
570,329.411
571,305.582
572,291.573
573,304.047
574,297.717
575,304.854
576,348.622
577,363.483
578,359.582
579,350.53
580,337.416
581,377.666
582,356.621
583,338.99
584,319.571
585,303.395
586,322.155
587,317.358
588,313.442
589,298.698
590,293.867
591,303.683
592,286.851
593,272.528
594,288.288
595,269.753
596,271.113
597,360.415
598,388.598
599,396.403
600,455.079
601,490.373
602,482.033
603,453.346
604,422.562
605,411.279
606,416.673
607,384.74
608,362.982
609,359.756
610,369.743
611,358.912
612,360.003
613,332.765
614,371.74
615,359.969
616,370.506
617,367.827
618,344.432
619,317.34
620,294.176
621,297.186
622,308.139
623,286.815
624,264.854
625,253.061
626,237.257
627,279.069
628,255.764
629,234.625
630,215.494
631,203.827
632,193.887
633,183.591
634,175.656
635,166.625
636,154.569
637,142.738
638,133.204
639,124.177
640,117.1
641,111.979
642,107.051
643,112.49
644,109.636
645,102.671
646,99.0272
647,92.5459
648,89.2746
649,86.3589
650,83.0508
651,78.0026
652,73.3792
653,69.0226
654,65.154
655,61.867
656,58.6317
657,55.7124
658,64.8719
659,63.853
660,60.4965
661,57.2843
662,54.3811
663,51.6844
664,49.1824
665,46.889
666,44.8419
667,43.0271
668,41.2951
669,39.7346
670,38.2622
671,36.8582
672,35.5585
673,35.621
674,34.4392
675,33.3387
676,32.4002
677,34.2358
678,33.2442
679,32.2288
680,31.2691
681,32.2234
682,31.8603
683,30.944
684,30.0748
685,29.2668
686,28.5221
687,27.8364
688,27.2029
689,26.6437
690,26.1166
691,25.6194
692,25.1844
693,24.7597
694,24.3593
695,23.989
696,23.6426
697,23.3251
698,23.0211
699,22.7356
700,22.468
701,22.2135
702,21.9707
703,21.7388
704,21.5191
705,21.3102
706,21.1111
707,20.9212
708,20.7396
709,21.063
710,20.9483
711,20.777
712,20.5909
713,20.4049
714,20.2241
715,20.0499
716,19.8843
717,19.7233
718,19.5679
719,19.4178
720,19.2725
721,19.1318
722,18.9952
723,18.8624
724,18.769
725,18.6465
726,18.5223
727,18.3995
728,18.2787
729,18.1602
730,18.044
731,17.9299
732,17.8179
733,17.7077
734,17.5992
735,17.4924
736,17.3871
737,17.2832
738,17.1805
739,17.0792
740,16.979
741,16.8799
742,16.7818
743,16.6848
744,16.5887
745,16.7956
746,17.0446
747,21.1713
748,21.8104
749,23.7282
750,24.5649
751,24.5793
752,24.3004
753,23.6862
754,23.3142
755,22.9871
756,22.6901
757,22.4627
758,22.2332
759,22.8332
760,23.0425
761,22.9289
762,22.6833
763,22.2823
764,21.8435
765,21.5612
766,21.2676
767,21.2886
768,21.1638
769,20.9006
770,20.8022
771,20.9933
772,21.127
773,20.7604
774,24.7812
775,24.9789
776,24.814
777,24.5199
778,24.2425
779,23.6795
780,23.0891
781,22.7029
782,22.4195
783,22.2309
784,22.1224
785,21.9824
786,22.1437
787,23.5128
788,24.0164
789,23.8205
790,23.4441
791,23.2103
792,22.6528
793,22.6988
794,23.0584
795,23.384
796,24.1277
797,24.2291
798,24.5626
799,24.9211
800,24.9394
801,25.5887
802,29.0111
803,28.9121
804,30.5269
805,31.2452
806,31.4562
807,30.8562
808,30.2387
809,31.6989
810,34.6609
811,37.3881
812,36.7872
813,36.0319
814,38.4316
815,37.7572
816,42.643
817,43.1502
818,41.9745
819,40.8969
820,40.258
821,39.3158
