Date,Value
1,
1,0.000203522
2,0.00018317
3,0.000164853
4,0.000148368
5,0.000133531
6,0.000120178
7,0.00010816
8,0.000141828
9,0.000144923
10,0.176555
11,0.355505
12,0.542851
13,1.60468
14,1.87093
15,2.0574
16,2.05978
17,2.05256
18,2.03723
19,2.00761
20,1.97686
21,2.10849
22,2.24162
23,2.56307
24,2.69552
25,2.92334
26,2.87975
27,3.00296
28,3.12384
29,3.2378
30,3.1761
31,3.27957
32,3.3816
33,3.62877
34,3.73186
35,3.83364
36,3.93286
37,4.79275
38,4.77389
39,4.70312
40,4.78485
41,4.70016
42,4.61325
43,5.61582
44,5.6875
45,5.74624
46,5.80525
47,5.86298
48,5.91852
49,6.62491
50,6.7064
51,6.65909
52,6.54636
53,6.4323
54,6.28624
55,6.30053
56,6.33206
57,6.37163
58,6.54129
59,6.62163
60,6.7146
61,7.2069
62,8.46893
63,8.82664
64,8.80433
65,8.77533
66,8.82804
67,8.88087
68,8.90692
69,8.9033
70,8.68821
71,8.86381
72,9.76957
73,9.92686
74,10.2308
75,10.2542
76,10.3018
77,10.4277
78,12.4735
79,13.3487
80,13.309
81,13.2744
82,13.1879
83,12.8987
84,14.6131
85,14.5919
86,14.3847
87,14.5165
88,14.2365
89,14.1313
90,13.7763
91,13.6264
92,13.3211
93,13.0818
94,12.8882
95,12.7803
96,13.3369
97,12.973
98,12.8709
99,12.7835
100,12.7215
101,12.9279
102,12.7132
103,12.3974
104,12.2093
105,12.2091
106,12.8365
107,12.8023
108,13.0794
109,13.0798
110,13.0519
111,13.0117
112,12.9952
113,14.6649
114,14.5147
115,14.6474
116,14.7302
117,14.748
118,14.7102
119,15.4739
120,15.7393
121,15.7186
122,15.9024
123,16.405
124,16.7034
125,17.4669
126,18.6593
127,22.7751
128,25.7272
129,27.1181
130,28.5288
131,29.4933
132,30.1746
133,32.4555
134,32.4157
135,32.1806
136,30.3154
137,37.5527
138,36.211
139,38.2656
140,43.85
141,45.4109
142,47.8806
143,47.7042
144,50.3103
145,59.5539
146,59.3054
147,66.4902
148,81.2632
149,77.4177
150,77.1446
151,78.2408
152,74.5645
153,78.271
154,79.44
155,83.2551
156,87.0038
157,92.3869
158,111.36
159,136.542
160,163.143
161,185.375
162,180.691
163,169.74
164,167.565
165,164.67
166,156.252
167,191.111
168,185.808
169,193.858
170,206.853
171,201.248
172,194.885
173,194.197
174,223.229
175,225.363
176,239.692
177,226.301
178,217.143
179,210.509
180,226.529
181,258.962
182,250.149
183,269.416
184,301.784
185,299.629
186,293.72
187,283.509
188,290.147
189,298.136
190,287.197
191,273.218
192,266.581
193,271.168
194,262.206
195,254.044
196,288.596
197,293.514
198,296.387
199,282.689
200,297.765
201,296.231
202,342.832
203,321.383
204,317.916
205,293.871
206,281.762
207,281.751
208,295.236
209,288.655
210,289.55
211,310.415
212,296.588
213,310.033
214,352.299
215,395.36
216,379.959
217,352.102
218,327.089
219,305.769
220,294.321
221,311.504
222,300.504
223,357.927
224,347.63
225,327.742
226,308.409
227,318.411
228,303.077
229,283.649
230,268.277
231,273.102
232,304.132
233,291.549
234,294.389
235,305.773
236,300.087
237,280.058
238,267.005
239,249.66
240,235.052
241,261.335
242,276.819
243,281.189
244,293.453
245,284.353
246,288.57
247,275.24
248,286.164
249,288.145
250,284.191
251,306.012
252,316.635
253,324.225
254,339.677
255,322.54
256,324.349
257,304.245
258,287.831
259,279.779
260,264.596
261,254.36
262,247.259
263,239.724
264,251.9
265,255.796
266,244.525
267,231.931
268,218.829
269,245.964
270,228.006
271,211.86
272,197.108
273,183.678
274,172.108
275,160.204
276,151.216
277,141.145
278,129.988
279,122.023
280,115.103
281,108.913
282,102.975
283,97.8183
284,90.8991
285,87.7607
286,83.3719
287,77.7467
288,74.528
289,69.9228
290,65.6739
291,61.8461
292,58.4337
293,55.2227
294,52.1633
295,49.4063
296,46.9261
297,50.4433
298,49.5906
299,48.9592
300,46.5397
301,44.3228
302,42.2996
303,40.3919
304,38.6635
305,37.079
306,36.9071
307,36.572
308,35.0989
309,33.7442
310,32.4981
311,31.3554
312,30.2992
313,29.3462
314,28.452
315,27.6173
316,26.856
317,26.1459
318,25.4862
319,25.8059
320,25.1723
321,24.5934
322,24.0681
323,24.5668
324,24.0349
325,23.5375
326,23.0675
327,22.6296
328,23.1064
329,22.6446
330,22.2145
331,21.8135
332,21.4406
333,22.3047
334,22.7681
335,23.2084
336,22.903
337,22.6104
338,22.1743
339,21.7703
340,21.5946
341,21.4193
342,21.0889
343,20.7739
344,20.4737
345,20.3623
346,20.2705
347,20.0188
348,20.0235
349,19.9704
350,20.4042
351,20.4228
352,21.1543
353,21.1309
354,21.1068
355,20.9062
356,20.6976
357,20.4852
358,20.4475
359,20.4105
360,20.5115
361,20.3365
362,20.2983
363,20.0913
364,20.1314
365,20.1112
366,20.082
367,20.0475
368,20.1765
369,20.1645
370,20.1451
371,20.2118
372,20.0097
373,20.0452
374,20.0441
375,19.8587
376,19.8342
377,19.8071
378,19.8849
379,20.3924
380,20.7799
381,20.5859
382,20.375
383,20.1619
384,20.1132
385,20.0658
386,20.0228
387,19.8307
388,19.6116
389,19.6466
390,19.916
391,19.8723
392,19.6765
393,19.4833
394,19.2788
395,19.0657
396,18.8531
397,18.6646
398,18.4679
399,18.3417
400,18.223
401,18.0944
402,17.9758
403,17.8318
404,17.6868
405,17.5336
406,17.4451
407,17.3217
408,17.1952
409,17.0837
410,16.9418
411,16.9476
412,16.9915
413,16.9254
414,16.9099
415,16.8545
416,16.9319
417,16.993
418,19.06
419,19.8628
420,19.7928
421,20.0805
422,20.4998
423,23.9388
424,24.1713
425,24.1814
426,24.2705
427,24.2514
428,24.2152
429,24.1697
430,24.0976
431,24.1565
432,24.0508
433,23.7838
434,23.4417
435,23.1122
436,22.7103
437,22.4233
438,22.1489
439,22.0265
440,22.5363
441,23.0606
442,23.1968
443,23.2241
444,23.1567
445,22.8217
446,23.6636
447,23.6422
448,23.5916
449,23.5917
450,23.4677
451,23.4202
452,23.2827
453,23.141
454,23.0471
455,22.8995
456,22.7492
457,24.1984
458,24.7611
459,24.8008
460,24.6031
461,25.2937
462,25.252
463,25.4264
464,25.5963
465,26.0725
466,26.6592
467,26.8041
468,26.7836
469,27.7075
470,27.9316
471,29.2389
472,29.1401
473,28.9007
474,28.9252
475,29.8085
476,29.7056
477,29.8969
478,29.8621
479,29.8898
480,29.302
481,29.8006
482,32.431
483,36.1208
484,38.3474
485,38.8301
486,40.6792
487,51.3618
488,56.853
489,58.6622
490,60.4306
491,61.0117
492,73.4347
493,76.5582
494,81.7458
495,85.3344
496,84.1965
497,92.1677
498,90.2441
499,89.2275
500,90.6606
501,92.5153
502,91.5006
503,87.3133
504,84.3765
505,83.1734
506,81.0285
507,78.7433
508,79.5797
509,82.1627
510,86.7109
511,85.6998
512,87.0973
513,100.315
514,96.1324
515,96.0089
516,93.5233
517,90.1581
518,93.0168
519,94.4211
520,106.234
521,129.396
522,147.268
523,152.577
524,159.706
525,161.365
526,173.494
527,174.915
528,171.154
529,177.979
530,178.803
531,177.008
532,180.364
533,180.085
534,176.397
535,172.458
536,166.611
537,196.463
538,197.671
539,192.61
540,185.672
541,178.597
542,192.113
543,184.785
544,189.526
545,186.406
546,207.005
547,211.229
548,229.625
549,243.103
550,254.231
551,276.429
552,274.102
553,264.481
554,278.867
555,278.343
556,283.427
557,299.339
558,333.964
559,344.356
560,327.311
561,339.545
562,369.412
563,409.777
564,401.394
565,384.193
566,400.36
567,410.363
568,379.434
569,356.572
570,333.856
571,310.075
572,296.051
573,308.344
574,301.88
575,308.825
576,352.192
577,366.743
578,362.673
579,353.606
580,340.528
581,380.709
582,359.677
583,342.074
584,322.682
585,306.517
586,325.205
587,320.354
588,316.386
589,301.61
590,296.731
591,306.462
592,289.589
593,275.236
594,290.905
595,272.332
596,273.628
597,362.68
598,390.685
599,398.382
600,456.873
601,492.012
602,483.621
603,454.966
604,424.244
605,412.989
606,418.361
607,386.467
608,364.747
609,361.518
610,371.318
611,360.367
612,361.316
613,334.093
614,372.795
615,360.938
616,371.347
617,368.6
618,345.274
619,318.319
620,295.293
621,298.292
622,309.149
623,287.875
624,266.019
625,254.298
626,238.573
627,280.156
628,256.875
629,235.835
630,216.816
631,205.222
632,195.331
633,185.077
634,177.168
635,168.164
636,156.151
637,144.364
638,134.862
639,125.86
640,118.654
641,113.278
642,108.148
643,112.493
644,109.201
645,102.319
646,98.7182
647,92.483
648,89.3412
649,86.4893
650,83.2488
651,78.4111
652,74.0233
653,69.8859
654,66.2078
655,63.0784
656,59.9751
657,57.1637
658,65.3913
659,64.083
660,60.8181
661,57.809
662,55.1224
663,52.6243
664,50.2936
665,48.1434
666,46.2139
667,44.4938
668,42.8368
669,41.3343
670,39.9055
671,38.5326
672,37.2535
673,37.2182
674,36.0187
675,34.9243
676,33.9922
677,35.5901
678,34.5486
679,33.5483
680,32.6205
681,33.4416
682,33.0238
683,32.1292
684,31.3017
685,30.5358
686,29.8273
687,29.1702
688,28.5582
689,28.0134
690,27.4956
691,27.0031
692,26.5684
693,26.141
694,25.7353
695,25.3573
696,25.0014
697,24.673
698,24.3569
699,24.0584
700,23.7772
701,23.5086
702,23.2513
703,23.0048
704,22.7704
705,22.5469
706,22.3333
707,22.1291
708,21.9333
709,22.0247
710,21.8523
711,21.6832
712,21.5173
713,21.3546
714,21.1952
715,21.0389
716,20.8867
717,20.7365
718,20.5891
719,20.4445
720,20.3026
721,20.1633
722,20.0264
723,19.892
724,19.7802
725,19.6508
726,19.5233
727,19.3976
728,19.2737
729,19.1515
730,19.0309
731,18.912
732,18.7946
733,18.6786
734,18.5642
735,18.451
736,18.3393
737,18.2288
738,18.1196
739,18.0115
740,17.9046
741,17.7988
742,17.6941
743,17.5904
744,17.4877
745,17.5566
746,17.6378
747,20.1866
748,20.3602
749,21.4594
750,21.9356
751,22.0547
752,22.0828
753,21.9343
754,21.9187
755,21.885
756,21.8377
757,21.8061
758,21.7509
759,22.2155
760,22.3606
761,22.3267
762,22.2319
763,22.0529
764,21.8504
765,21.7227
766,21.565
767,21.5739
768,21.477
769,21.3079
770,21.2394
771,21.3315
772,21.3777
773,21.1356
774,23.5509
775,23.4645
776,23.4173
777,23.3574
778,23.3188
779,23.0943
780,22.8481
781,22.7065
782,22.5944
783,22.5179
784,22.466
785,22.388
786,22.486
787,23.2807
788,23.4732
789,23.3246
790,23.1359
791,23.0647
792,22.7702
793,22.8603
794,23.1045
795,23.3064
796,23.7875
797,23.8532
798,24.1229
799,24.4051
800,24.4595
801,24.9621
802,27.3324
803,27.1776
804,28.2997
805,28.8572
806,29.1705
807,28.933
808,28.7148
809,29.9539
810,32.1347
811,34.1041
812,33.725
813,33.4877
814,35.2937
815,34.8874
816,38.3892
817,38.7132
818,38.205
819,37.9216
820,37.9254
