Date,Value
1,
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0363594
11,0.102025
12,0.192177
13,0.44525
14,0.698441
15,0.938238
16,1.13011
17,1.28161
18,1.39911
19,1.48636
20,1.54905
21,1.62529
22,1.71229
23,1.84246
24,1.97183
25,2.11849
26,2.22437
27,2.3316
28,2.43943
29,2.54615
30,2.61584
31,2.68992
32,2.76703
33,2.87378
34,2.97712
35,3.07722
36,3.17425
37,3.39682
38,3.56821
39,3.68816
40,3.79835
41,3.8663
42,3.90012
43,4.10456
44,4.28077
45,4.43164
46,4.56156
47,4.67415
48,4.7721
49,4.98108
50,5.1607
51,5.28985
52,5.36594
53,5.39944
54,5.39284
55,5.3873
56,5.38526
57,5.3868
58,5.41526
59,5.44846
60,5.48846
61,5.58327
62,5.84051
63,6.08807
64,6.27809
65,6.41975
66,6.53445
67,6.62756
68,6.70113
69,6.75498
70,6.75992
71,6.7837
72,6.93386
73,7.07224
74,7.22755
75,7.35438
76,7.46007
77,7.55867
78,7.94167
79,8.38255
80,8.73251
81,9.0071
82,9.21611
83,9.33897
84,9.6915
85,9.97182
86,10.1632
87,10.3236
88,10.407
89,10.4498
90,10.4272
91,10.3818
92,10.2928
93,10.1768
94,10.045
95,9.91525
96,9.86633
97,9.7713
98,9.67534
99,9.5804
100,9.48849
101,9.43672
102,9.35887
103,9.24709
104,9.12361
105,9.01603
106,9.00183
107,8.98364
108,9.01004
109,9.02871
110,9.03968
111,9.04298
112,9.04049
113,9.24064
114,9.38434
115,9.51756
116,9.63596
117,9.73516
118,9.81096
119,9.98175
120,10.1512
121,10.2864
122,10.3636
123,10.4054
124,10.4123
125,10.408
126,10.4113
127,10.5337
128,10.7183
129,10.9044
130,11.0949
131,11.2761
132,11.4415
133,11.65
134,11.8185
135,11.9462
136,11.9888
137,12.2857
138,12.4977
139,12.758
140,13.193
141,13.635
142,14.1154
143,14.5298
144,14.9851
145,15.7213
146,16.363
147,17.197
148,18.5158
149,19.5534
150,20.4684
151,21.3181
152,21.9401
153,22.5182
154,23.0024
155,23.4703
156,23.9289
157,24.4216
158,25.2978
159,26.6736
160,28.5476
161,30.7576
162,32.5999
163,33.9745
164,35.1427
165,36.1129
166,36.7689
167,38.2185
168,39.3802
169,40.6153
170,42.0535
171,43.1987
172,44.0593
173,44.7949
174,46.165
175,47.4509
176,48.9692
177,50.008
178,50.716
179,51.1891
180,52.0099
181,53.5508
182,54.707
183,55.3687
184,55.6408
185,55.5475
186,55.1505
187,54.503
188,53.6775
189,52.7165
190,51.6281
191,50.4397
192,49.1882
193,47.911
194,46.6049
195,45.286
196,44.0286
197,42.7959
198,41.5914
199,40.3993
200,39.2658
201,38.1684
202,37.1789
203,36.1989
204,35.257
205,34.3259
206,33.4246
207,32.5704
208,31.781
209,31.0238
210,30.3106
211,29.6679
212,29.0426
213,28.4735
214,27.9397
215,27.4421
216,26.949
217,26.4563
218,25.9679
219,25.4873
220,25.0217
221,24.5867
222,24.1662
223,23.7974
224,23.4405
225,23.0902
226,22.7473
227,22.4283
228,22.118
229,21.8144
230,21.5197
231,21.2447
232,21.0026
233,20.7667
234,20.5457
235,20.3431
236,20.1486
237,19.9537
238,19.7625
239,19.5727
240,19.3858
241,19.2242
242,19.08
243,18.9458
244,18.8253
245,18.7191
246,18.6433
247,18.5685
248,18.528
249,18.5049
250,18.4878
251,18.5107
252,18.5541
253,18.611
254,18.6908
255,18.7448
256,18.802
257,18.8301
258,18.8361
259,18.833
260,18.8111
261,18.7783
262,18.74
263,18.6957
264,18.6734
265,18.6587
266,18.6297
267,18.5857
268,18.5268
269,18.5111
270,18.4709
271,18.4104
272,18.3335
273,18.2429
274,18.1425
275,18.0725
276,18.0733
277,18.0837
278,18.0624
279,18.0546
280,18.0602
281,18.0796
282,18.1039
283,18.1337
284,18.1263
285,18.1562
286,18.1845
287,18.1752
288,18.1733
289,18.1406
290,18.0806
291,17.9984
292,17.8988
293,17.7847
294,17.6593
295,17.5254
296,17.3854
297,17.3815
298,17.3854
299,17.3969
300,17.377
301,17.3312
302,17.264
303,17.1796
304,17.0814
305,16.9724
306,16.886
307,16.8165
308,16.7326
309,16.6373
310,16.533
311,16.4219
312,16.3059
313,16.1864
314,16.0649
315,15.9422
316,15.8195
317,15.6972
318,15.5762
319,15.4808
320,15.3831
321,15.2839
322,15.1842
323,15.1096
324,15.0309
325,14.9491
326,14.8651
327,14.7796
328,14.7167
329,14.6493
330,14.5784
331,14.505
332,14.4297
333,14.3853
334,14.3578
