Date,Value
1,
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.303495
11,0.541541
12,0.738504
13,0.899959
14,1.0269
15,1.10771
16,0.89609
17,0.731647
18,0.603324
19,0.48984
20,0.408512
21,0.631786
22,0.81119
23,0.953491
24,1.06247
25,1.15056
26,0.923822
27,1.03807
28,1.13387
29,1.20564
30,0.964749
31,1.06986
32,1.15268
33,1.22081
34,1.27423
35,1.3196
36,1.35594
37,1.38061
38,1.20243
39,0.991067
40,1.09045
41,0.901181
42,0.759071
43,0.912997
44,1.02987
45,1.11401
46,1.19302
47,1.26258
48,1.31339
49,1.35438
50,1.40773
51,1.26533
52,1.05834
53,0.906663
54,0.742079
55,0.894839
56,1.04166
57,1.16792
58,1.28737
59,1.36128
60,1.41444
61,1.59027
62,1.68569
63,1.89164
64,1.811
65,1.7549
66,1.86807
67,1.95989
68,2.00016
69,2.01614
70,1.6551
71,1.78586
72,1.88409
73,1.96365
74,2.00336
75,2.03788
76,2.09123
77,2.14986
78,2.18614
79,2.26242
80,2.2825
81,2.32805
82,2.29113
83,1.9371
84,2.03182
85,2.09476
86,1.9646
87,2.05564
88,1.84959
89,1.97499
90,1.67272
91,1.79381
92,1.59425
93,1.53162
94,1.54465
95,1.71367
96,1.81056
97,1.49113
98,1.67617
99,1.83227
100,1.97866
101,2.14764
102,1.94155
103,1.61106
104,1.53044
105,1.77364
106,1.95942
107,2.07898
108,2.16079
109,2.25536
110,2.28963
111,2.31563
112,2.37233
113,2.44087
114,2.27647
115,2.35525
116,2.57829
117,2.6132
118,2.63756
119,2.64989
120,2.66284
121,2.67914
122,3.19781
123,4.2093
124,4.8166
125,6.22081
126,8.20168
127,11.2023
128,13.27
129,15.5029
130,17.5289
131,18.5346
132,18.9555
133,19.8753
134,19.1071
135,18.054
136,14.4432
137,13.1587
138,12.2317
139,11.8256
140,11.5705
141,11.4215
142,12.2442
143,12.572
144,13.1872
145,14.0443
146,14.6152
147,13.9144
148,12.8914
149,12.8679
150,14.6302
151,15.3919
152,14.7454
153,23.6457
154,30.4209
155,38.1684
156,42.7115
157,49.5611
158,54.7695
159,59.8692
160,60.8788
161,64.129
162,65.3811
163,57.0606
164,55.3758
165,52.3137
166,48.5376
167,48.0836
168,49.3644
169,49.1648
170,47.8992
171,48.0552
172,49.0462
173,56.3366
174,63.3354
175,60.8815
176,58.9818
177,54.7572
178,53.1573
179,50.6454
180,55.8497
181,61.4345
182,62.9887
183,80.7465
184,93.713
185,106.461
186,111.912
187,102.453
188,98.0633
189,96.4374
190,92.2562
191,83.6047
192,76.2447
193,72.3622
194,74.4639
195,81.5368
196,74.7359
197,70.8939
198,72.674
199,65.7593
200,63.0437
201,64.9879
202,60.9439
203,54.9713
204,50.7657
205,46.7246
206,44.0146
207,42.5756
208,41.5787
209,49.9515
210,47.5809
211,45.9293
212,44.3385
213,43.0303
214,41.94
215,41.5533
216,40.5915
217,38.8068
218,37.8657
219,37.7851
220,36.9806
221,36.9502
222,36.5103
223,37.4732
224,37.332
225,37.1274
226,37.0264
227,36.7597
228,36.8496
229,35.8205
230,35.5307
231,34.9587
232,35.4305
233,41.888
234,41.3977
235,40.557
236,39.9921
237,39.6416
238,39.5212
239,38.821
240,39.082
241,38.8611
242,39.3028
243,40.1695
244,39.5899
245,39.1654
246,38.5868
247,38.2419
248,37.2052
249,36.1208
250,35.2086
251,35.6757
252,34.9413
253,34.1976
254,33.2258
255,33.074
256,32.0407
257,31.38
258,30.7312
259,30.4337
260,30.1629
261,29.7265
262,29.1932
263,28.8401
264,28.7029
265,28.7197
266,28.644
267,28.1142
268,28.3365
269,28.3922
270,28.3041
271,28.7621
272,28.6626
273,28.8432
274,28.8168
275,27.3527
276,25.8989
277,24.764
278,19.8544
279,19.9546
280,20.2732
281,20.3159
282,20.1798
283,20.3397
284,16.2724
285,16.8544
286,16.8343
287,13.4968
288,14.3478
289,11.6923
290,9.39295
291,7.54255
292,6.10089
293,4.88071
294,3.90457
295,3.12365
296,2.49892
297,5.40844
298,7.61608
299,9.54813
300,7.6385
301,6.1108
302,4.88864
303,3.91091
304,3.12873
305,2.50299
306,4.48627
307,5.82882
308,4.66305
309,3.73044
310,2.98436
311,2.38748
312,1.90999
313,1.52799
314,1.22239
315,0.977914
316,0.782331
317,0.625865
318,0.500692
319,2.2092
320,1.76736
321,1.4176
322,1.14525
323,2.84947
324,2.28123
325,1.82498
326,1.45998
327,1.16799
328,2.67741
329,2.14193
330,1.71354
331,1.37083
332,1.09667
