Date,obs,Year,,,,,,,
1/1/2000,16.634613,2000,44.634613,24.634613,19.634613,16.634613,16.634613,,
1/2/2000,16.634613,,44.634613,24.634613,19.634613,16.634613,16.634613,,
1/3/2000,15.9496841,,43.9496841,23.9496841,18.9496841,15.9496841,15.9496841,,
1/4/2000,15.9496841,,43.9496841,23.9496841,18.9496841,15.9496841,15.9496841,,
1/5/2000,15.72137,,43.72137,23.72137,18.72137,15.72137,15.72137,,
1/6/2000,14.8081322,,42.8081322,22.8081322,17.8081322,14.8081322,14.8081322,,
1/7/2000,13.8948936,,41.8948936,21.8948936,16.8948936,13.8948936,13.8948936,,
1/8/2000,13.8948936,,41.8948936,21.8948936,16.8948936,13.8948936,13.8948936,,
1/9/2000,13.20996,,41.20996,21.20996,16.20996,13.20996,13.20996,,
1/10/2000,13.8948936,,41.8948936,21.8948936,16.8948936,13.8948936,13.8948936,,
1/11/2000,12.98165,,40.98165,20.98165,15.98165,12.98165,12.98165,,
1/12/2000,11.72595,,39.72595,19.72595,14.72595,11.72595,11.72595,,
1/13/2000,14.4656677,,42.4656677,22.4656677,17.4656677,14.4656677,14.4656677,,
1/14/2000,12.98165,,40.98165,20.98165,15.98165,12.98165,12.98165,,
1/15/2000,11.72595,,39.72595,19.72595,14.72595,11.72595,11.72595,,
1/16/2000,10.5843964,,38.5843964,18.5843964,13.5843964,10.5843964,10.5843964,,
1/17/2000,9.2145348,,37.2145348,17.2145348,12.2145348,9.2145348,9.2145348,,
1/18/2000,8.9862251,,36.9862251,16.9862251,11.9862251,8.9862251,8.9862251,,
1/19/2000,8.5296059,,36.5296059,16.5296059,11.5296059,8.5296059,8.5296059,,
1/20/2000,8.5296059,,36.5296059,16.5296059,11.5296059,8.5296059,8.5296059,,
1/21/2000,8.3012962,,36.3012962,16.3012962,11.3012962,8.3012962,8.3012962,,
1/22/2000,7.844677,,35.844677,15.844677,10.844677,7.844677,7.844677,,
1/23/2000,7.6163673,,35.6163673,15.6163673,10.6163673,7.6163673,7.6163673,,
1/24/2000,7.6163673,,35.6163673,15.6163673,10.6163673,7.6163673,7.6163673,,
1/25/2000,7.3880577,,35.3880577,15.3880577,10.3880577,7.3880577,7.3880577,,
1/26/2000,7.1597443,,35.1597443,15.1597443,10.1597443,7.1597443,7.1597443,,
1/27/2000,6.9314346,,34.9314346,14.9314346,9.9314346,6.9314346,6.9314346,,
1/28/2000,6.703125,,34.703125,14.703125,9.703125,6.703125,6.703125,,
1/29/2000,6.4748154,,34.4748154,14.4748154,9.4748154,6.4748154,6.4748154,,
1/30/2000,6.4748154,,34.4748154,14.4748154,9.4748154,6.4748154,6.4748154,,
1/31/2000,6.2465057,,34.2465057,14.2465057,9.2465057,6.2465057,6.2465057,,
2/1/2000,6.0181961,,34.0181961,14.0181961,9.0181961,6.0181961,6.0181961,,
2/2/2000,5.7898865,,33.7898865,13.7898865,8.7898865,5.7898865,5.7898865,,
2/3/2000,5.5615768,,33.5615768,13.5615768,8.5615768,5.5615768,5.5615768,,
2/4/2000,5.1049538,,33.1049538,13.1049538,8.1049538,5.1049538,5.1049538,,
2/5/2000,4.4200249,,32.4200249,12.4200249,7.4200249,4.4200249,4.4200249,,
2/6/2000,3.9634056,,31.9634056,11.9634056,6.9634056,3.9634056,3.9634056,,
2/7/2000,5.5615768,,33.5615768,13.5615768,8.5615768,5.5615768,5.5615768,,
2/8/2000,4.8766441,,32.8766441,12.8766441,7.8766441,4.8766441,4.8766441,,
2/9/2000,5.1049538,,33.1049538,13.1049538,8.1049538,5.1049538,5.1049538,,
2/10/2000,4.8766441,,32.8766441,12.8766441,7.8766441,4.8766441,4.8766441,,
2/11/2000,4.1917152,,32.1917152,12.1917152,7.1917152,4.1917152,4.1917152,,
2/12/2000,4.1917152,,32.1917152,12.1917152,7.1917152,4.1917152,4.1917152,,
2/13/2000,3.9634056,,31.9634056,11.9634056,6.9634056,3.9634056,3.9634056,,
2/14/2000,3.2784748,,31.2784748,11.2784748,6.2784748,3.2784748,3.2784748,,
2/15/2000,3.2784748,,31.2784748,11.2784748,6.2784748,3.2784748,3.2784748,,
2/16/2000,3.0501652,,31.0501652,11.0501652,6.0501652,3.0501652,3.0501652,,
2/17/2000,3.0501652,,31.0501652,11.0501652,6.0501652,3.0501652,3.0501652,,
2/18/2000,6.5067844,,31.5067844,11.5067844,6.5067844,3.5067844,6.5067844,,
2/19/2000,6.0501652,,31.0501652,11.0501652,6.0501652,3.0501652,6.0501652,,
2/20/2000,6.5067844,,31.5067844,11.5067844,6.5067844,3.5067844,6.5067844,,
2/21/2000,5.8218555,,30.8218555,10.8218555,5.8218555,2.8218555,5.8218555,,
2/22/2000,5.8218555,,30.8218555,10.8218555,5.8218555,2.8218555,5.8218555,,
2/23/2000,6.5067844,,31.5067844,11.5067844,6.5067844,3.5067844,6.5067844,,
2/24/2000,5.8218555,,30.8218555,10.8218555,5.8218555,2.8218555,5.8218555,,
2/25/2000,6.5067844,,31.5067844,11.5067844,6.5067844,3.5067844,6.5067844,,
2/26/2000,6.735096,,31.735096,11.735096,6.735096,3.735096,6.735096,,
2/27/2000,7.1917152,,32.1917152,12.1917152,7.1917152,4.1917152,7.1917152,,
2/28/2000,6.735096,,31.735096,11.735096,6.735096,3.735096,6.735096,,
2/29/2000,7.8766441,,32.8766441,12.8766441,7.8766441,4.8766441,7.8766441,,
3/1/2000,8.1049538,,33.1049538,13.1049538,8.1049538,5.1049538,8.1049538,,
3/2/2000,7.4200249,,32.4200249,12.4200249,7.4200249,4.4200249,7.4200249,,
3/3/2000,7.8766441,,32.8766441,12.8766441,7.8766441,4.8766441,7.8766441,,
3/4/2000,6.5067844,,31.5067844,11.5067844,6.5067844,3.5067844,6.5067844,,
3/5/2000,5.1369247,,30.1369247,10.1369247,5.1369247,2.1369247,5.1369247,,
3/6/2000,4.4519958,,29.4519958,9.4519958,4.4519958,1.4519958,4.4519958,,
3/7/2000,5.5935459,,30.5935459,10.5935459,5.5935459,2.5935459,5.5935459,,
3/8/2000,5.1369247,,30.1369247,10.1369247,5.1369247,2.1369247,5.1369247,,
3/9/2000,5.1369247,,30.1369247,10.1369247,5.1369247,2.1369247,5.1369247,,
3/10/2000,5.1369247,,30.1369247,10.1369247,5.1369247,2.1369247,5.1369247,,
3/11/2000,5.1369247,,30.1369247,10.1369247,5.1369247,2.1369247,5.1369247,,
3/12/2000,5.8218555,,30.8218555,10.8218555,5.8218555,2.8218555,5.8218555,,
3/13/2000,6.0501652,,31.0501652,11.0501652,6.0501652,3.0501652,6.0501652,,
3/14/2000,6.735096,,31.735096,11.735096,6.735096,3.735096,6.735096,,
3/15/2000,8.1049538,,33.1049538,13.1049538,8.1049538,5.1049538,8.1049538,,
3/16/2000,6.5067844,,31.5067844,11.5067844,6.5067844,3.5067844,6.5067844,,
3/17/2000,7.6483345,,32.6483345,12.6483345,7.6483345,4.6483345,7.6483345,,
3/18/2000,8.5615768,,33.5615768,13.5615768,8.5615768,5.5615768,8.5615768,,
3/19/2000,10.6163673,,35.6163673,15.6163673,10.6163673,7.6163673,10.6163673,,
3/20/2000,9.9314346,,34.9314346,14.9314346,9.9314346,6.9314346,9.9314346,,
3/21/2000,7.1917152,,32.1917152,12.1917152,7.1917152,4.1917152,7.1917152,,
3/22/2000,6.5067844,,31.5067844,11.5067844,6.5067844,3.5067844,6.5067844,,
3/23/2000,7.8766441,,32.8766441,12.8766441,7.8766441,4.8766441,7.8766441,,
3/24/2000,8.3332672,,33.3332672,13.3332672,8.3332672,5.3332672,8.3332672,,
3/25/2000,9.0181961,,34.0181961,14.0181961,9.0181961,6.0181961,9.0181961,,
3/26/2000,8.1049538,,33.1049538,13.1049538,8.1049538,5.1049538,8.1049538,,
3/27/2000,9.0181961,,34.0181961,14.0181961,9.0181961,6.0181961,9.0181961,,
3/28/2000,8.3332672,,33.3332672,13.3332672,8.3332672,5.3332672,8.3332672,,
3/29/2000,12.10038,,37.10038,17.10038,12.10038,9.10038,12.10038,,
3/30/2000,18.4610939,,46.4610939,26.4610939,21.4610939,18.4610939,18.4610939,,
3/31/2000,29.4199753,,57.4199753,37.4199753,32.4199753,29.4199753,29.4199753,,
4/1/2000,46.99985,,74.99985,54.99985,49.99985,46.99985,46.99985,,
4/2/2000,45.51583,,73.51583,53.51583,48.51583,45.51583,45.51583,,
4/3/2000,51.56605,,79.56605,59.56605,54.56605,51.56605,51.56605,,
4/4/2000,41.86287,,69.86287,49.86287,44.86287,41.86287,41.86287,,
4/5/2000,40.60717,,68.60717,48.60717,43.60717,40.60717,40.60717,,
4/6/2000,41.74872,,69.74872,49.74872,44.74872,41.74872,41.74872,,
