Date,sim,Year,Observed,mean,mean ob,,,,,,,,
1/1/2000,0.000203522,2000,16.634613,127.4136728,147.4784187,,,,,,136.2763988,136,156.9759679
1/2/2000,0.00018317,2000,16.634613,,,,,,,,,,
1/3/2000,0.000164853,2000,15.9496841,,,,,,,,,,
1/4/2000,0.000148368,2000,15.9496841,,,,,,,,,,
1/5/2000,0.000133531,2000,15.72137,,,,,,,,,,
1/6/2000,0.000120178,2000,14.8081322,,,,,,,,,,
1/7/2000,0.00010816,2000,13.8948936,,,,,,,,,,
1/8/2000,0.000141828,2000,13.8948936,,,,,,,,,,
1/9/2000,0.000144923,2000,13.20996,,,,,,,,,,
1/10/2000,0.176555,2000,13.8948936,,,,,,,,,,
1/11/2000,0.355505,2000,12.98165,,,,,,,,,,
1/12/2000,0.542851,2000,11.72595,,,,,,,,,,
1/13/2000,1.60468,2000,14.4656677,,,,,,,,,,
1/14/2000,1.87093,2000,12.98165,,,,,,,,,,
1/15/2000,2.0574,2000,11.72595,,,,,,,,,,
1/16/2000,2.05978,2000,10.5843964,,,,,,,,,,
1/17/2000,2.05256,2000,9.2145348,,,,,,,,,,
1/18/2000,2.03723,2000,8.9862251,,,,,,,,,,
1/19/2000,2.00761,2000,8.5296059,,,,,,,,,,
1/20/2000,1.97686,2000,8.5296059,,,,,,,,,,
1/21/2000,2.10849,2000,8.3012962,,,,,,,,,,
1/22/2000,2.24162,2000,7.844677,,,,,,,,,,
1/23/2000,2.56307,2000,7.6163673,,,,,,,,,,
1/24/2000,2.69552,2000,7.6163673,,,,,,,,,,
1/25/2000,2.92334,2000,7.3880577,,,,,,,,,,
1/26/2000,2.87975,2000,7.1597443,,,,,,,,,,
1/27/2000,3.00296,2000,6.9314346,,,,,,,,,,
1/28/2000,3.12384,2000,6.703125,,,,,,,,,,
1/29/2000,3.2378,2000,6.4748154,,,,,,,,,,
1/30/2000,3.1761,2000,6.4748154,,,,,,,,,,
1/31/2000,3.27957,2000,6.2465057,,,,,,,,,,
