Date,Value
1,
1,0.000407044
2,0.000325635
3,0.000260508
4,0.000208407
5,0.000166725
6,0.00013338
7,0.000106704
8,0.000174332
9,0.000174021
10,0.340175
11,0.643885
12,0.933767
13,2.89868
14,3.10311
15,3.176
16,2.93024
17,2.73649
18,2.58102
19,2.43907
20,2.32786
21,2.55338
22,2.76052
23,3.31589
24,3.45025
25,3.77214
26,3.55067
27,3.69973
28,3.84055
29,3.96559
30,3.75163
31,3.89661
32,4.02917
33,4.43535
34,4.52396
35,4.6149
36,4.70466
37,6.27381
38,5.96776
39,5.63691
40,5.6674
41,5.39048
42,5.15786
43,7.06989
44,6.95272
45,6.85934
46,6.80592
47,6.77901
48,6.76938
49,8.03416
50,7.95162
51,7.66432
52,7.3126
53,7.01818
54,6.70518
55,6.73927
56,6.7962
57,6.85669
58,7.15774
59,7.24761
60,7.35415
61,8.23332
62,10.5159
63,10.7952
64,10.3555
65,10.0053
66,9.89214
67,9.81849
68,9.72083
69,9.59202
70,9.07812
71,9.39205
72,11.0884
73,11.134
74,11.4889
75,11.2828
76,11.1771
77,11.2587
78,15.0861
79,16.206
80,15.4916
81,14.9568
82,14.4452
83,13.644
84,16.8678
85,16.3509
86,15.5956
87,15.6377
88,14.8985
89,14.6085
90,13.8707
91,13.6164
92,13.0756
93,12.7095
94,12.4511
95,12.3613
96,13.5536
97,12.7833
98,12.6058
99,12.4603
100,12.3641
101,12.7859
102,12.3223
103,11.7077
104,11.4008
105,11.4759
106,12.7473
107,12.5618
108,13.007
109,12.8637
110,12.6909
111,12.5202
112,12.42
113,15.6325
114,14.9204
115,14.8917
116,14.8015
117,14.6226
118,14.3789
119,15.7439
120,15.9945
121,15.69
122,15.872
123,16.7018
124,17.0658
125,18.3451
126,20.3702
127,28.028
128,32.6278
129,33.7778
130,35.0165
131,35.4031
132,35.3464
133,38.6221
134,37.0745
135,35.4532
136,30.8776
137,44.9543
138,40.5414
139,43.5207
140,53.3176
141,54.2343
142,57.0959
143,54.6232
144,58.1697
145,74.7149
146,70.8719
147,82.5646
148,108.387
149,94.9088
150,90.5771
151,89.8437
152,80.0325
153,86.2388
154,86.9096
155,92.98
156,98.4702
157,106.869
158,141.709
159,185.637
160,228.519
161,259.348
162,234.829
163,201.962
164,191.133
165,180.682
166,160.818
167,229.51
168,211.239
169,222.259
170,242.518
171,224.252
172,207.11
173,203.514
174,259.706
175,256.715
176,279.068
177,244.567
178,222.868
179,208.789
180,241.355
181,303.17
182,276.773
183,310.225
184,367.154
185,350.212
186,328.768
187,301.844
188,311.942
189,324.01
190,297.357
191,267.709
192,255.801
193,267.308
194,250.245
195,236.315
196,308.849
197,314.423
198,315.682
199,284.039
200,313.434
201,306.659
202,397.099
203,342.606
204,330.612
205,279.11
206,256.906
207,260.853
208,290.931
209,277.506
210,280.346
211,322.68
212,291.298
213,317.922
214,399.516
215,474.798
216,426.692
217,360.195
218,307.094
219,266.979
220,250.345
221,291.985
222,272.35
223,391.261
224,362.419
225,318.098
226,279.763
227,303.886
228,274.507
229,239.743
230,216.154
231,234.593
232,302.71
233,276.182
234,283.288
235,306.623
236,293.431
237,253.06
