Date,Value
1,
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.151747
11,0.285945
12,0.409986
13,0.523566
14,0.624675
15,0.705301
16,0.639733
17,0.583147
18,0.533836
19,0.484043
20,0.443958
21,0.552051
22,0.649726
23,0.737023
24,0.813157
25,0.882133
26,0.795608
27,0.865552
28,0.930704
29,0.986905
30,0.888334
31,0.94853
32,1.00207
33,1.0512
34,1.09487
35,1.13549
36,1.17207
37,1.20279
38,1.13149
39,1.0329
40,1.07841
41,0.984976
42,0.905542
43,0.967858
44,1.02081
45,1.06379
46,1.10831
47,1.15156
48,1.18807
49,1.22109
50,1.2611
51,1.20456
52,1.10714
53,1.02643
54,0.932157
55,0.98953
56,1.05347
57,1.11542
58,1.1804
59,1.22805
60,1.26795
61,1.37051
62,1.4402
63,1.56772
64,1.55979
65,1.55687
66,1.63325
67,1.70264
68,1.74851
69,1.78166
70,1.62459
71,1.69302
72,1.75142
73,1.80447
74,1.84024
75,1.87381
76,1.91689
77,1.96364
78,2.0004
79,2.05712
80,2.08769
81,2.12994
82,2.13129
83,1.97026
84,2.0143
85,2.04753
86,1.98717
87,2.03043
88,1.92993
89,1.98459
90,1.8325
91,1.87706
92,1.76896
93,1.72017
94,1.70783
95,1.77603
96,1.81824
97,1.65775
98,1.73361
99,1.80592
100,1.88174
101,1.97593
102,1.89005
103,1.72996
104,1.67776
105,1.78463
106,1.87642
107,1.9445
108,1.99885
109,2.06233
110,2.09877
111,2.13085
112,2.17768
113,2.23142
114,2.17016
115,2.22018
116,2.34521
117,2.38597
118,2.42088
119,2.44871
120,2.4753
121,2.5022
122,2.77924
123,3.32684
124,3.71873
125,4.53062
126,5.69008
127,7.44153
128,8.85149
129,10.4098
130,11.9321
131,12.9946
132,13.759
133,14.7386
134,14.8682
135,14.7655
136,13.2889
137,12.7621
138,12.3383
139,12.1246
140,11.9672
141,11.853
142,12.2212
143,12.3874
144,12.7135
145,13.1894
146,13.5603
147,13.3154
148,12.8638
149,12.8548
150,13.7372
151,14.2074
152,14.0026
153,18.527
154,22.4265
155,27.0997
156,30.4781
157,35.1263
158,39.1739
159,43.2833
160,45.4467
161,48.6151
162,50.7925
163,48.0911
164,48.1456
165,47.3376
166,45.9472
167,45.9792
168,46.83
169,46.9837
170,46.569
171,46.78
172,47.403
173,51.2126
174,55.2244
175,54.8085
176,54.466
177,52.8052
178,52.2005
179,51.0402
180,53.6029
181,56.62
182,57.8785
183,67.2684
184,75.0995
185,83.3347
186,88.3727
187,85.9973
188,85.448
189,85.8966
190,84.8601
191,81.274
192,77.827
193,75.7276
194,76.4419
195,79.7805
196,76.5557
197,74.4527
198,74.9869
199,71.2982
200,69.3865
201,69.7244
202,67.2287
203,63.6139
204,60.6469
205,57.6382
206,55.1918
207,53.3546
208,51.7783
209,54.9447
210,53.2601
211,51.8664
212,50.4773
213,49.2093
214,48.0462
215,47.2423
216,46.1925
217,44.74
218,43.6762
219,43.0548
220,42.1256
221,41.5959
222,40.9114
223,40.9527
224,40.5341
225,40.1116
226,39.7627
227,39.3557
228,39.1411
229,38.3974
230,37.9948
231,37.4624
232,37.4479
233,40.4749
234,40.3711
235,40.0534
236,39.8213
237,39.6631
238,39.6008
239,39.2427
240,39.3311
241,39.1957
242,39.3831
243,39.8084
244,39.5547
245,39.346
246,39.0386
247,38.821
248,38.2447
249,37.5986
250,36.9947
251,37.0496
252,36.5451
253,36.0128
254,35.3454
255,35.0575
256,34.3425
257,33.782
258,33.2174
259,32.82
260,32.446
261,31.9995
262,31.5055
263,31.0977
264,30.8034
265,30.6017
266,30.3757
267,29.9376
268,29.8664
269,29.7413
270,29.5623
271,29.6655
272,29.5254
273,29.5294
274,29.4476
275,28.6525
276,27.7956
277,27.0385
278,24.3562
279,23.9561
280,23.7153
281,23.3924
282,23.0167
283,22.813
284,20.532
285,20.397
286,20.0327
287,18.0441
288,18.0149
289,16.3204
290,14.7079
291,13.2512
292,11.9595
293,10.7636
294,9.68723
295,8.71851
296,7.84666
297,8.76664
298,9.53464
299,10.3088
300,9.27793
301,8.35014
302,7.51512
303,6.76361
304,6.08725
305,5.47852
306,6.17261
307,6.67525
308,6.00773
309,5.40695
310,4.86626
311,4.37963
312,3.94167
313,3.5475
314,3.19275
315,2.87348
316,2.58613
317,2.32752
318,2.09476
319,2.78961
320,2.51065
321,2.26144
322,2.04088
323,2.80343
324,2.52391
325,2.27152
326,2.04437
327,1.83993
328,2.52745
329,2.2747
330,2.04723
331,1.84251
332,1.65826
