Date,Value,,,,,
1,,,,,,
1,0.000203522+B3:B5787,16.634613,#DIV/0!,136.1355544,151.8092968,138.4033152
2,0.00018317,16.634613,,,,162.6771304
3,0.000164853,15.9496841,,,,
4,0.000148368,15.9496841,,,,
5,0.000133531,15.72137,,,,
6,0.000120178,14.8081322,,,,
7,0.00010816,13.8948936,,,,
8,0.000141828,13.8948936,,,,
9,0.000144923,13.20996,,,,
10,0.176555,13.8948936,,,,
11,0.355505,12.98165,,,,
12,0.542851,11.72595,,,,
13,1.60468,14.4656677,,,,
14,1.87093,12.98165,,,,
15,2.0574,11.72595,,,,
16,2.05978,10.5843964,,,,
17,2.05256,9.2145348,,,,
18,2.03723,8.9862251,,,,
19,2.00761,8.5296059,,,,
20,1.97686,8.5296059,,,,
21,2.10849,8.3012962,,,,
22,2.24162,7.844677,,,,
23,2.56307,7.6163673,,,,
24,2.69552,7.6163673,,,,
25,2.92334,7.3880577,,,,
26,2.87975,7.1597443,,,,
27,3.00296,6.9314346,,,,
28,3.12384,6.703125,,,,
29,3.2378,6.4748154,,,,
30,3.1761,6.4748154,,,,
31,3.27957,6.2465057,,,,
32,3.3816,6.0181961,,,,
33,3.62877,5.7898865,,,,
34,3.73186,5.5615768,,,,
35,3.83364,5.1049538,,,,
36,3.93286,4.4200249,,,,
37,4.79275,3.9634056,,,,
38,4.77389,5.5615768,,,,
39,4.70312,4.8766441,,,,
40,4.78485,5.1049538,,,,
41,4.70016,4.8766441,,,,
42,4.61325,4.1917152,,,,
43,5.61582,4.1917152,,,,
44,5.6875,3.9634056,,,,
45,5.74624,3.2784748,,,,
46,5.80525,3.2784748,,,,
47,5.86298,3.0501652,,,,
48,5.91852,3.0501652,,,,
49,6.62491,6.5067844,,,,
50,6.7064,6.0501652,,,,
51,6.65909,6.5067844,,,,
52,6.54636,5.8218555,,,,
53,6.4323,5.8218555,,,,
54,6.28624,6.5067844,,,,
55,6.30053,5.8218555,,,,
56,6.33206,6.5067844,,,,
57,6.37163,6.735096,,,,
58,6.54129,7.1917152,,,,
59,6.62163,6.735096,,,,
60,6.7146,7.8766441,,,,
61,7.2069,8.1049538,,,,
62,8.46893,7.4200249,,,,
63,8.82665,7.8766441,,,,
64,8.80433,6.5067844,,,,
65,8.77533,5.1369247,,,,
66,8.82804,4.4519958,,,,
67,8.88087,5.5935459,,,,
68,8.90692,5.1369247,,,,
69,8.9033,5.1369247,,,,
70,8.68821,5.1369247,,,,
71,8.86381,5.1369247,,,,
72,9.76957,5.8218555,,,,
73,9.92686,6.0501652,,,,
74,10.2308,6.735096,,,,
75,10.2542,8.1049538,,,,
76,10.3018,6.5067844,,,,
77,10.4277,7.6483345,,,,
78,12.4735,8.5615768,,,,
79,13.3487,10.6163673,,,,
80,13.309,9.9314346,,,,
81,13.2744,7.1917152,,,,
82,13.1879,6.5067844,,,,
83,12.8987,7.8766441,,,,
84,14.6131,8.3332672,,,,
85,14.5919,9.0181961,,,,
86,14.3847,8.1049538,,,,
87,14.5165,9.0181961,,,,
88,14.2365,8.3332672,,,,
89,14.1313,12.10038,,,,
90,13.7763,18.4610939,,,,
91,13.6264,29.4199753,,,,
92,13.3211,46.99985,,,,
93,13.0818,45.51583,,,,
94,12.8882,51.56605,,,,
95,12.7803,41.86287,,,,
96,13.3369,40.60717,,,,
97,12.973,41.74872,,,,
98,12.8709,37.75329,,,,
99,12.7835,33.5295563,,,,
100,12.7215,29.4199753,,,,
101,12.9279,28.2784233,,,,
102,12.7132,30.21906,,,,
103,12.3974,29.76244,,,,
104,12.2093,32.8446236,,,,
105,12.2091,36.61174,,,,
106,12.8365,37.63914,,,,
107,12.8023,34.55695,,,,
108,13.0794,32.8446236,,,,
109,13.0798,31.4747658,,,,
110,13.0519,30.7898331,,,,
111,13.0117,34.2144852,,,,
112,12.9952,36.61174,,,,
113,14.6649,42.43365,,,,
114,14.5147,43.118576,,,,
115,14.6474,43.5751953,,,,
116,14.7302,44.71674,,,,
117,14.748,41.63456,,,,
118,14.7102,49.28295,,,,
119,15.4739,52.7075958,,,,
120,15.7393,61.61169,,,,
121,15.7186,55.33316,,,,
122,15.9024,51.56605,,,,
123,16.405,59.5569,,,,
124,16.7034,58.75781,,,,
125,17.4669,53.39253,,,,
126,18.6593,53.39253,,,,
127,22.7751,51.9085159,,,,
128,25.7272,65.94958,,,,
129,27.1181,52.7075958,,,,
130,28.5288,51.56605,,,,
131,29.4933,56.13225,,,,
132,30.1746,54.53408,,,,
133,32.4555,71.88564,,,,
134,32.4156,84.785156,,,,
135,32.1806,86.155022,,,,
136,30.3154,91.86277,,,,
137,37.5527,80.333115,,,,
138,36.211,78.8491,,,,
139,38.2656,121.543076,,,,
140,43.85,147.798737,,,,
141,45.4109,166.063538,,,,
142,47.8806,168.346634,,,,
143,47.7042,167.205078,,,,
144,50.3103,177.479034,,,,
145,59.5539,223.141037,,,,
146,59.3054,233.415,,,,
147,66.4902,188.2094,,,,
148,81.2632,234.236847,,,,
149,77.4177,204.876236,,,,
150,77.1446,164.921982,,,,
151,78.2408,161.49733,,,,
152,74.5645,144.374084,,,,
153,78.271,148.940277,,,,
154,79.44,153.506485,,,,
155,83.2551,155.789581,,,,
156,87.0038,148.940277,,,,
157,92.3869,211.72554,,,,
